[ T-Track ]
    title = [t-track] in xyz mesh
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -1.000000      # minimum value of x-mesh points
     xmax =   1.000000      # maximum value of x-mesh points
#    xdel =   2.000000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -1.00000E+00  1.00000E+00
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =  -1.000000      # minimum value of y-mesh points
     ymax =   1.000000      # maximum value of y-mesh points
#    ydel =   2.000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#          -1.00000E+00  1.00000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -3.000000      # minimum value of z-mesh points
     zmax =   11.00000      # maximum value of z-mesh points
#    zdel =   1.750000      # mesh width of z-mesh points
       nz =      8          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -3.00000E+00 -1.25000E+00  5.00000E-01  2.25000E+00  4.00000E+00
#           5.75000E+00  7.50000E+00  9.25000E+00  1.10000E+01
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-03  # minimum value of e-mesh points
     emax =   2.000000      # maximum value of e-mesh points
#    edel =  7.6009025E-03  # mesh width of e-mesh points
       ne =   1000          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-03  1.00763E-03  1.01532E-03  1.02306E-03  1.03087E-03
#           1.03874E-03  1.04666E-03  1.05465E-03  1.06269E-03  1.07080E-03
#           1.07897E-03  1.08720E-03  1.09550E-03  1.10386E-03  1.11228E-03
#           1.12077E-03  1.12932E-03  1.13794E-03  1.14662E-03  1.15537E-03
#           1.16418E-03  1.17306E-03  1.18201E-03  1.19103E-03  1.20012E-03
#           1.20928E-03  1.21850E-03  1.22780E-03  1.23717E-03  1.24661E-03
#           1.25612E-03  1.26570E-03  1.27536E-03  1.28509E-03  1.29490E-03
#           1.30478E-03  1.31473E-03  1.32476E-03  1.33487E-03  1.34506E-03
#           1.35532E-03  1.36566E-03  1.37608E-03  1.38658E-03  1.39716E-03
#           1.40782E-03  1.41856E-03  1.42938E-03  1.44029E-03  1.45128E-03
#           1.46235E-03  1.47351E-03  1.48475E-03  1.49608E-03  1.50749E-03
#           1.51900E-03  1.53059E-03  1.54226E-03  1.55403E-03  1.56589E-03
#           1.57784E-03  1.58987E-03  1.60200E-03  1.61423E-03  1.62654E-03
#           1.63895E-03  1.65146E-03  1.66406E-03  1.67676E-03  1.68955E-03
#           1.70244E-03  1.71543E-03  1.72852E-03  1.74171E-03  1.75500E-03
#           1.76839E-03  1.78188E-03  1.79547E-03  1.80917E-03  1.82298E-03
#           1.83689E-03  1.85090E-03  1.86502E-03  1.87925E-03  1.89359E-03
#           1.90804E-03  1.92260E-03  1.93727E-03  1.95205E-03  1.96694E-03
#           1.98195E-03  1.99707E-03  2.01231E-03  2.02766E-03  2.04313E-03
#           2.05872E-03  2.07443E-03  2.09026E-03  2.10621E-03  2.12228E-03
#           2.13847E-03  2.15479E-03  2.17123E-03  2.18779E-03  2.20448E-03
#           2.22130E-03  2.23825E-03  2.25533E-03  2.27254E-03  2.28988E-03
#           2.30735E-03  2.32495E-03  2.34269E-03  2.36057E-03  2.37858E-03
#           2.39673E-03  2.41501E-03  2.43344E-03  2.45201E-03  2.47071E-03
#           2.48957E-03  2.50856E-03  2.52770E-03  2.54699E-03  2.56642E-03
#           2.58600E-03  2.60573E-03  2.62561E-03  2.64565E-03  2.66583E-03
#           2.68617E-03  2.70667E-03  2.72732E-03  2.74813E-03  2.76910E-03
#           2.79022E-03  2.81151E-03  2.83296E-03  2.85458E-03  2.87636E-03
#           2.89831E-03  2.92042E-03  2.94270E-03  2.96515E-03  2.98778E-03
#           3.01057E-03  3.03354E-03  3.05669E-03  3.08001E-03  3.10351E-03
#           3.12719E-03  3.15105E-03  3.17509E-03  3.19932E-03  3.22373E-03
#           3.24833E-03  3.27311E-03  3.29808E-03  3.32325E-03  3.34860E-03
#           3.37415E-03  3.39990E-03  3.42584E-03  3.45198E-03  3.47832E-03
#           3.50485E-03  3.53160E-03  3.55854E-03  3.58569E-03  3.61305E-03
#           3.64062E-03  3.66840E-03  3.69638E-03  3.72459E-03  3.75301E-03
#           3.78164E-03  3.81049E-03  3.83957E-03  3.86886E-03  3.89838E-03
#           3.92813E-03  3.95810E-03  3.98830E-03  4.01873E-03  4.04939E-03
